,schoolId,schoolNm,schoolSe,fondDate,fondType,bnhhSe,operSttus,lnmadr,rdnmadr,cddcCode,cddcNm,edcSport,edcSportNm,creatDate,changeDate,latitude,longitude,referenceDate,insttCode
143,B000004967,통리초등학교,초등학교,1959-04-06,공립,본교,운영,강원도 태백시 통동 69-8,강원도 태백시 통골2길 9,7800000,강원도교육청,7851000,강원도태백교육지원청,2013-11-29,2020-09-19,37.16673527,129.0354652,2020-09-22,7001220
144,B000002261,서울반포초등학교,초등학교,1974-03-20,공립,본교,운영,서울특별시 서초구 반포동 937,서울특별시 서초구 신반포로 55-4,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-19,37.50248483,126.9917416,2020-09-22,7001220
145,B000009113,울산중앙중학교,중학교,1980-03-02,공립,본교,운영,울산광역시 남구 신정동 859-3,울산광역시 남구 중앙로63번길 5,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2013-11-29,2020-09-19,35.5260243,129.3156805,2020-09-22,7001220
146,B000025338,수완하나중학교,중학교,2015-03-01,공립,본교,운영,광주광역시 광산구 수완동 973,광주광역시 광산구 수완로105번길 47,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2020-09-19,35.19420808,126.8275242,2020-09-22,7001220
147,B000011088,경운중학교,중학교,2001-03-01,공립,본교,운영,경상남도 김해시 내동 1115-3,경상남도 김해시 우암로 62,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2020-09-19,35.23612594,128.8618342,2020-09-22,7001220
148,B000012401,무거고등학교,고등학교,2006-03-04,공립,본교,운영,울산광역시 남구 무거동 1000,울산광역시 남구 대학로1번길 17-28,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2013-11-29,2020-09-19,35.53627893,129.2507423,2020-09-22,7001220
149,B000002594,거제초등학교,초등학교,1946-06-01,공립,본교,운영,부산광역시 연제구 거제동 676-152,부산광역시 연제구 해맞이로 39,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2013-11-29,2020-09-19,35.17807396,129.0675717,2020-09-22,7001220
150,B000008733,성서중학교,중학교,1970-03-30,공립,본교,운영,대구광역시 달서구 용산동 948,대구광역시 달서구 용산서로 63,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2020-09-19,35.8558081,128.5266048,2020-09-22,7001220
151,B000001873,서울상봉초등학교,초등학교,1983-10-25,공립,본교,운영,서울특별시 중랑구 상봉동 312-1,서울특별시 중랑구 동일로126가길 11,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2020-09-19,37.59797895,127.0831714,2020-09-22,7001220
152,B000002069,서울원광초등학교,초등학교,1992-04-30,공립,본교,운영,서울특별시 노원구 중계동 359,서울특별시 노원구 덕릉로76길 18,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2020-09-19,37.65431092,127.0749142,2020-09-22,7001220
