행정구역코드,행정구역명,행정구역레벨,성별,총 이동 전입,총 이동 전출,시군구내 전입,시군구내 전출,시군구간 전입,시군구간 전출,시도간 전입,시도간 전출,순이동
3117059000,울산광역시 동구 남목2동,읍면동,남자,1085,1660,342,379,209,603,534,678,-575
3117059000,울산광역시 동구 남목2동,읍면동,여자,934,1364,303,288,223,511,408,565,-430
3117060000,울산광역시 동구 남목3동,읍면동,남자,443,717,165,189,152,298,126,230,-274
3117060000,울산광역시 동구 남목3동,읍면동,여자,438,687,148,169,142,301,148,217,-249
3120051000,울산광역시 북구 농소1동,읍면동,남자,2030,2551,663,1092,746,579,621,880,-521
3120051000,울산광역시 북구 농소1동,읍면동,여자,1830,2335,612,1075,655,502,563,758,-505
3120052000,울산광역시 북구 농소2동,읍면동,남자,3453,2199,1164,876,1492,473,797,850,1254
3120052000,울산광역시 북구 농소2동,읍면동,여자,3251,2028,1132,814,1333,435,786,779,1223
3120053000,울산광역시 북구 농소3동,읍면동,남자,1362,2083,324,920,548,380,490,783,-721
3120053000,울산광역시 북구 농소3동,읍면동,여자,1354,2080,326,907,520,391,508,782,-726
3120054000,울산광역시 북구 강동동,읍면동,남자,1429,1213,252,331,753,446,424,436,216
3120054000,울산광역시 북구 강동동,읍면동,여자,1381,1101,233,325,713,408,435,368,280
3120056000,울산광역시 북구 효문동,읍면동,남자,2345,3135,414,1437,1175,824,756,874,-790
3120056000,울산광역시 북구 효문동,읍면동,여자,1796,2567,344,1258,973,696,479,613,-771
3120057000,울산광역시 북구 송정동,읍면동,남자,7637,1168,2821,351,4095,346,721,471,6469
3120057000,울산광역시 북구 송정동,읍면동,여자,7275,1198,2660,370,3901,386,714,442,6077
3120058000,울산광역시 북구 양정동,읍면동,남자,744,1145,128,549,201,273,415,323,-401
3120058000,울산광역시 북구 양정동,읍면동,여자,442,878,88,435,177,207,177,236,-436
3120059000,울산광역시 북구 염포동,읍면동,남자,524,808,115,325,195,220,214,263,-284
3120059000,울산광역시 북구 염포동,읍면동,여자,405,692,88,299,175,193,142,200,-287
3171025000,울산광역시 울주군 온산읍,읍면동,남자,1409,1761,236,493,355,446,818,822,-352
3171025000,울산광역시 울주군 온산읍,읍면동,여자,813,1276,203,443,251,359,359,474,-463
3171025300,울산광역시 울주군 언양읍,읍면동,남자,2833,1626,1335,605,805,353,693,668,1207
3171025300,울산광역시 울주군 언양읍,읍면동,여자,2784,1506,1286,622,827,327,671,557,1278
3171025600,울산광역시 울주군 온양읍,읍면동,남자,1441,1505,434,341,369,420,638,744,-64
3171025600,울산광역시 울주군 온양읍,읍면동,여자,1284,1299,439,345,314,339,531,615,-15
3171025900,울산광역시 울주군 범서읍,읍면동,남자,2552,3657,329,862,1272,1411,951,1384,-1105
3171025900,울산광역시 울주군 범서읍,읍면동,여자,2435,3468,286,856,1276,1314,873,1298,-1033
3171026200,울산광역시 울주군 청량읍,읍면동,남자,1593,1063,345,183,908,505,340,375,530
3171026200,울산광역시 울주군 청량읍,읍면동,여자,1391,921,309,154,796,472,286,295,470
3171031000,울산광역시 울주군 서생면,읍면동,남자,602,704,72,149,95,111,435,444,-102
3171031000,울산광역시 울주군 서생면,읍면동,여자,395,573,63,147,57,71,275,355,-178
3171034000,울산광역시 울주군 웅촌면,읍면동,남자,540,512,93,101,199,147,248,264,28
3171034000,울산광역시 울주군 웅촌면,읍면동,여자,504,420,95,87,207,140,202,193,84
3171036000,울산광역시 울주군 두동면,읍면동,남자,216,183,51,67,84,50,81,66,33
3171036000,울산광역시 울주군 두동면,읍면동,여자,193,168,48,62,88,54,57,52,25
3171037000,울산광역시 울주군 두서면,읍면동,남자,156,156,42,58,55,40,59,58,0
3171037000,울산광역시 울주군 두서면,읍면동,여자,135,143,42,64,42,28,51,51,-8
3171038000,울산광역시 울주군 상북면,읍면동,남자,426,627,139,317,122,114,165,196,-201
3171038000,울산광역시 울주군 상북면,읍면동,여자,383,551,138,290,94,82,151,179,-168
3171039000,울산광역시 울주군 삼남면,읍면동,남자,2278,1664,861,753,670,242,747,669,614
3171039000,울산광역시 울주군 삼남면,읍면동,여자,2047,1483,860,689,589,241,598,553,564
3171040000,울산광역시 울주군 삼동면,읍면동,남자,106,115,33,41,25,26,48,48,-9
3171040000,울산광역시 울주군 삼동면,읍면동,여자,91,94,27,37,27,26,37,31,-3
