,date,weekend,ntl_holi,holi,rest_yn,seq_holi
285,2020-10-12,N,N,N,N,N
286,2020-10-13,N,N,N,N,N
287,2020-10-14,N,N,N,N,N
288,2020-10-15,N,N,N,N,N
289,2020-10-16,N,N,N,N,N
290,2020-10-17,Y,N,N,Y,N
291,2020-10-18,Y,N,N,Y,N
292,2020-10-19,N,N,N,N,N
293,2020-10-20,N,N,N,N,N
294,2020-10-21,N,N,N,N,N
295,2020-10-22,N,N,N,N,N
296,2020-10-23,N,N,N,N,N
297,2020-10-24,Y,N,N,Y,N
298,2020-10-25,Y,N,N,Y,N
299,2020-10-26,N,N,N,N,N
300,2020-10-27,N,N,N,N,N
301,2020-10-28,N,N,N,N,N
302,2020-10-29,N,N,N,N,N
303,2020-10-30,N,N,N,N,N
304,2020-10-31,Y,N,N,Y,N
305,2020-11-01,Y,N,N,Y,N
306,2020-11-02,N,N,N,N,N
307,2020-11-03,N,N,N,N,N
308,2020-11-04,N,N,N,N,N
309,2020-11-05,N,N,N,N,N
310,2020-11-06,N,N,N,N,N
311,2020-11-07,Y,N,N,Y,N
312,2020-11-08,Y,N,N,Y,N
313,2020-11-09,N,N,N,N,N
314,2020-11-10,N,N,N,N,N
315,2020-11-11,N,N,N,N,N
316,2020-11-12,N,N,N,N,N
317,2020-11-13,N,N,N,N,N
318,2020-11-14,Y,N,N,Y,N
319,2020-11-15,Y,N,N,Y,N
320,2020-11-16,N,N,N,N,N
321,2020-11-17,N,N,N,N,N
322,2020-11-18,N,N,N,N,N
323,2020-11-19,N,N,N,N,N
324,2020-11-20,N,N,N,N,N
325,2020-11-21,Y,N,N,Y,N
326,2020-11-22,Y,N,N,Y,N
327,2020-11-23,N,N,N,N,N
328,2020-11-24,N,N,N,N,N
329,2020-11-25,N,N,N,N,N
330,2020-11-26,N,N,N,N,N
331,2020-11-27,N,N,N,N,N
332,2020-11-28,Y,N,N,Y,N
333,2020-11-29,Y,N,N,Y,N
334,2020-11-30,N,N,N,N,N
335,2020-12-01,N,N,N,N,N
336,2020-12-02,N,N,N,N,N
337,2020-12-03,N,N,N,N,N
338,2020-12-04,N,N,N,N,N
339,2020-12-05,Y,N,N,Y,N
340,2020-12-06,Y,N,N,Y,N
341,2020-12-07,N,N,N,N,N
342,2020-12-08,N,N,N,N,N
343,2020-12-09,N,N,N,N,N
344,2020-12-10,N,N,N,N,N
345,2020-12-11,N,N,N,N,N
346,2020-12-12,Y,N,N,Y,N
347,2020-12-13,Y,N,N,Y,N
348,2020-12-14,N,N,N,N,N
349,2020-12-15,N,N,N,N,N
350,2020-12-16,N,N,N,N,N
351,2020-12-17,N,N,N,N,N
352,2020-12-18,N,N,N,N,N
353,2020-12-19,Y,N,N,Y,N
354,2020-12-20,Y,N,N,Y,N
355,2020-12-21,N,N,N,N,N
356,2020-12-22,N,N,N,N,N
357,2020-12-23,N,N,N,N,N
358,2020-12-24,N,N,N,N,N
359,2020-12-25,N,N,Y,Y,Y
360,2020-12-26,Y,N,N,Y,Y
361,2020-12-27,Y,N,N,Y,Y
362,2020-12-28,N,N,N,N,N
363,2020-12-29,N,N,N,N,N
364,2020-12-30,N,N,N,N,N
365,2020-12-31,N,N,N,N,N
