,의료기관명,의료기관종별,의료기관주소(도로명),lat_lng,lat,lng
1354,구영해맑은 한의원,한의원,"울산광역시 울주군 범서읍 대리2길 48, 2층","{'lat': 35.5707319, 'lng': 129.2434643}",35.5707319,129.2434643
1355,진하한의원,한의원,울산광역시 울주군 서생면 진하길 13,"{'lat': 35.3848985, 'lng': 129.3421727}",35.3848985,129.3421727
1356,온산한의원,한의원,울산광역시 울주군 온산읍 덕신로 283,"{'lat': 35.4342646, 'lng': 129.312497}",35.4342646,129.312497
1357,성심당한의원,한의원,울산광역시 울주군 언양읍 동문길 98,"{'lat': 35.5633845, 'lng': 129.1245275}",35.5633845,129.1245275
1358,김선권한의원의원,한의원,울산광역시 울주군 언양읍 헌양길 37,"{'lat': 35.5647475, 'lng': 129.1251775}",35.5647475,129.1251775
1359,홍광석한의원,한의원,울산광역시 울주군 웅촌면 웅촌로 377,"{'lat': 35.4648187, 'lng': 129.2091882}",35.4648187,129.2091882
1360,초락당한의원,한의원,울산광역시 울주군 두동면 계명로 44-34,"{'lat': 35.7099588, 'lng': 129.199347}",35.7099588,129.199347
1361,세종한의원,한의원,"울산광역시 울주군 범서읍 천상3길 14, 2층","{'lat': 35.5630764, 'lng': 129.2276165}",35.5630764,129.2276165
1362,언양경희한의원,한의원,울산광역시 울주군 언양읍 헌양길 21,"{'lat': 35.5642803, 'lng': 129.1261781}",35.5642803,129.1261781
1363,천수한의원,한의원,울산광역시 울주군 범서읍 천상중앙길 70 (2동 202호),"{'lat': 35.5632022, 'lng': 129.2284479}",35.5632022,129.2284479
1364,용담한의원,한의원,울산광역시 울주군 언양읍 반구대로 830,"{'lat': 35.5640581, 'lng': 129.127866}",35.5640581,129.127866
1365,남창한의원,한의원,울산광역시 울주군 온양읍 온양로 85,"{'lat': 35.4106806, 'lng': 129.2811058}",35.4106806,129.2811058
1366,한솔한의원,한의원,울산광역시 울주군 온양읍 대운길 51,"{'lat': 35.4136438, 'lng': 129.282159}",35.4136438,129.282159
1367,동화한의원,한의원,울산광역시 울주군 언양읍 언양로 1,"{'lat': 35.5637891, 'lng': 129.1279097}",35.5637891,129.1279097
1368,자성한의원,한의원,울산광역시 울주군 온산읍 덕남로 19,"{'lat': 35.4327289, 'lng': 129.311079}",35.4327289,129.311079
1369,황한의원,한의원,"울산광역시 울주군 청량읍 덕하로 222, 1층","{'lat': 35.4907344, 'lng': 129.3044661}",35.4907344,129.3044661
1370,동양한의원,한의원,울산광역시 울주군 언양읍 헌양길 84,"{'lat': 35.5651047, 'lng': 129.1223465}",35.5651047,129.1223465
1371,천인한의원,한의원,울산광역시 울주군 상북면 덕현행정길 16-20,"{'lat': 35.6152185, 'lng': 129.0446076}",35.6152185,129.0446076
1372,가까운온누리약국,약국,"울산광역시 중구 외솔큰길 207, 1층 (남외동)","{'lat': 35.5777158, 'lng': 129.3492223}",35.5777158,129.3492223
1373,곰약국,약국,"울산광역시 중구 종가4길 9, 1층 (유곡동)","{'lat': 35.5672432, 'lng': 129.3058341}",35.5672432,129.3058341
1374,광제약국,약국,"울산광역시 중구 동천5길 16, 1층 (서동)","{'lat': 35.5813501, 'lng': 129.3465661}",35.5813501,129.3465661
1375,규당약국,약국,울산광역시 중구 학성로 114 (옥교동),"{'lat': 35.554378, 'lng': 129.3240244}",35.554378,129.3240244
1376,그린약국,약국,"울산광역시 중구 유곡로 10, 1층 (우정동)","{'lat': 35.5575093, 'lng': 129.3088175}",35.5575093,129.3088175
1377,금성약국,약국,울산광역시 중구 화합로 360 (반구동),"{'lat': 35.5580433, 'lng': 129.3419837}",35.5580433,129.3419837
1378,기쁜우리약국,약국,"울산광역시 중구 남외2길 50 (남외동, 트레져프라자 101호)","{'lat': 35.5763267, 'lng': 129.3405466}",35.5763267,129.3405466
1379,뉴새운약국,약국,"울산광역시 중구 태화로 231, 1층 (태화동)","{'lat': 35.5525708, 'lng': 129.3006739}",35.5525708,129.3006739
1380,다솜약국,약국,"울산광역시 중구 함월로 113, 1층 (성안동)","{'lat': 35.5771974, 'lng': 129.3174947}",35.5771974,129.3174947
1381,다운약국,약국,울산광역시 중구 다운로 110 (다운동),"{'lat': 35.5628679, 'lng': 129.267536}",35.5628679,129.267536
1382,다정약국,약국,"울산광역시 중구 유곡로 11, 1층 (태화동)","{'lat': 35.556299, 'lng': 129.3083037}",35.556299,129.3083037
1383,다정약국,약국,울산광역시 중구 다운로 47 (다운동),"{'lat': 35.5585662, 'lng': 129.2717909}",35.5585662,129.2717909
1384,대원약국,약국,"울산광역시 중구 명륜로 34, 1층 (우정동)","{'lat': 35.555333, 'lng': 129.3095354}",35.555333,129.3095354
1385,도담약국,약국,"울산광역시 중구 학성로 169, 1층 1호 (학성동)","{'lat': 35.5569264, 'lng': 129.329387}",35.5569264,129.329387
1386,동광온누리약국,약국,"울산광역시 중구 손골4길 6, 1층 (복산동)","{'lat': 35.563602, 'lng': 129.3260579}",35.563602,129.3260579
1387,동신약국,약국,"울산광역시 중구 학성로 122, 1층 (옥교동)","{'lat': 35.5559899, 'lng': 129.3243983}",35.5559899,129.3243983
1388,동아약국,약국,울산광역시 중구 중앙길 128 (성남동),"{'lat': 35.5557192, 'lng': 129.3204784}",35.5557192,129.3204784
1389,동화약국,약국,울산광역시 중구 다운로 115 (다운동),"{'lat': 35.5630343, 'lng': 129.2667974}",35.5630343,129.2667974
1390,라온약국,약국,"울산광역시 중구 시계탑거리 39, 1층 (옥교동)","{'lat': 35.55349229999999, 'lng': 129.3219375}",35.55349229999999,129.3219375
1391,맘편한약국,약국,"울산광역시 중구 성안로 194, B동 1층 (성안동)","{'lat': 35.5772895, 'lng': 129.3181339}",35.5772895,129.3181339
1392,명정약국,약국,울산광역시 중구 태화로 124 (태화동),"{'lat': 35.5530835, 'lng': 129.2895328}",35.5530835,129.2895328
1393,무지개약국,약국,"울산광역시 중구 번영로 576, 1층 (남외동)","{'lat': 35.576008, 'lng': 129.3407598}",35.576008,129.3407598
1394,문화약국,약국,"울산광역시 중구 동천6길 6, 1층 (서동)","{'lat': 35.5825754, 'lng': 129.3461287}",35.5825754,129.3461287
1395,미래건강약국,약국,울산광역시 중구 화합로 409 (반구동),"{'lat': 35.561716, 'lng': 129.337934}",35.561716,129.337934
1396,미소약국,약국,"울산광역시 중구 번영로 566, 1층 (남외동)","{'lat': 35.576008, 'lng': 129.3407598}",35.576008,129.3407598
1397,미소열린약국,약국,"울산광역시 중구 명륜로 17, 1층 (태화동)","{'lat': 35.5539271, 'lng': 129.3086842}",35.5539271,129.3086842
1398,바오밥약국,약국,"울산광역시 중구 종가17길 52, 혁신프라자 108호 (서동)","{'lat': 35.5718426, 'lng': 129.3454163}",35.5718426,129.3454163
1399,박약국,약국,"울산광역시 중구 태화로 233, 1층 (태화동)","{'lat': 35.5526394, 'lng': 129.300836}",35.5526394,129.300836
1400,보강약국,약국,"울산광역시 중구 병영로 10, 1층 (남외동)","{'lat': 35.5701801, 'lng': 129.3462699}",35.5701801,129.3462699
1401,보성약국,약국,"울산광역시 중구 번영로 580, 1층 103호 (남외동, 스카이엠빌딩)","{'lat': 35.5712208, 'lng': 129.344199}",35.5712208,129.344199
1402,복산약국,약국,"울산광역시 중구 번영로 485, 1층 (약사동)","{'lat': 35.5650448, 'lng': 129.3362023}",35.5650448,129.3362023
1403,봄봄약국,약국,"울산광역시 중구  화합로  361, 1층 (반구동)","{'lat': 35.5582146, 'lng': 129.3406751}",35.5582146,129.3406751
1404,부광약국,약국,울산광역시 중구 반구정4길 52 (반구동),"{'lat': 35.5578614, 'lng': 129.3441513}",35.5578614,129.3441513
1405,부부약국,약국,"울산광역시 중구 다운로 46, 1층 (다운동)","{'lat': 35.5586853, 'lng': 129.2722064}",35.5586853,129.2722064
1406,비타민약국,약국,울산광역시 중구 번영로 582 (남외동),"{'lat': 35.5696889, 'lng': 129.351025}",35.5696889,129.351025
1407,새물약국,약국,"울산광역시 중구 태화로 180, B동 1층 (태화동)","{'lat': 35.5521132, 'lng': 129.2953792}",35.5521132,129.2953792
1408,새시온약국,약국,울산광역시 중구 화합로 357 (반구동),"{'lat': 35.5579504, 'lng': 129.3406851}",35.5579504,129.3406851
1409,새유명약국,약국,"울산광역시 중구 태화로 172, 1층 (태화동)","{'lat': 35.5524286, 'lng': 129.2945483}",35.5524286,129.2945483
1410,서광약국,약국,"울산광역시 중구 화진길 13-2, 1층 101-1호 (태화동, 리버스위트)","{'lat': 35.5549662, 'lng': 129.3089977}",35.5549662,129.3089977
1411,서일약국,약국,"울산광역시 중구 장춘로 1, 1층 (우정동)","{'lat': 35.5563684, 'lng': 129.3098842}",35.5563684,129.3098842
1412,서진약국,약국,"울산광역시 중구 번영로 577, 1층 (남외동)","{'lat': 35.576008, 'lng': 129.3407598}",35.576008,129.3407598
1413,성남약국,약국,"울산광역시 중구 학성로 62, 1층 (성남동)","{'lat': 35.5542301, 'lng': 129.3180243}",35.5542301,129.3180243
1414,세명약국,약국,"울산광역시 중구 학성로 99, 101호 (옥교동)","{'lat': 35.5541707, 'lng': 129.3234442}",35.5541707,129.3234442
1415,세정약국,약국,"울산광역시 중구 학성로 123, 1층 (옥교동)","{'lat': 35.5559002, 'lng': 129.324109}",35.5559002,129.324109
1416,솔약국,약국,"울산광역시 중구 북부순환도로 111, 1층 (다운동)","{'lat': 35.5800565, 'lng': 129.2670367}",35.5800565,129.2670367
1417,송약국,약국,울산광역시 중구 학성로 121 (옥교동),"{'lat': 35.5556391, 'lng': 129.3242481}",35.5556391,129.3242481
1418,스카이약국,약국,"울산광역시 중구 번영로 371, 1층 102호 (학산동)","{'lat': 35.5579899, 'lng': 129.3254614}",35.5579899,129.3254614
1419,시계탑약국,약국,울산광역시 중구 학성로 92 (성남동),"{'lat': 35.5550898, 'lng': 129.3210858}",35.5550898,129.3210858
1420,시원약국,약국,"울산광역시 중구 번영로 574, 동천빌딩 1층 (남외동)","{'lat': 35.5605146, 'lng': 129.3515773}",35.5605146,129.3515773
1421,신병영약국,약국,울산광역시 중구 번영로 571 (남외동),"{'lat': 35.5709456, 'lng': 129.3507538}",35.5709456,129.3507538
1422,신한약국,약국,"울산광역시 중구 명륜로 41, 1층 (태화동)","{'lat': 35.556042, 'lng': 129.3092271}",35.556042,129.3092271
1423,아로리약국,약국,"울산광역시 중구 평동3길 1, 122동 202호 (유곡동, 푸르지오)","{'lat': 35.5604843, 'lng': 129.3047604}",35.5604843,129.3047604
1424,영원약국,약국,"울산광역시 중구 옥교6길 7, 1층 (학산동)","{'lat': 35.5548391, 'lng': 129.3276562}",35.5548391,129.3276562
1425,오거리약국,약국,"울산광역시 중구 번영로 564, 1층 (남외동)","{'lat': 35.5722134, 'lng': 129.3515042}",35.5722134,129.3515042
1426,옥교온누리약국,약국,울산광역시 중구 옥골샘4길 1 (옥교동),"{'lat': 35.5561808, 'lng': 129.3244908}",35.5561808,129.3244908
1427,울산세명약국,약국,"울산광역시 중구 학성로 180, 101-102호 (학성동)","{'lat': 35.5567455, 'lng': 129.3305895}",35.5567455,129.3305895
1428,울산약국,약국,울산광역시 중구 학성공원13길 48 (학성동),"{'lat': 35.5556461, 'lng': 129.3373302}",35.5556461,129.3373302
1429,일신약국,약국,"울산광역시 중구 학성로 111-1, 1층 (옥교동)","{'lat': 35.5557083, 'lng': 129.3231653}",35.5557083,129.3231653
1430,자연약국,약국,"울산광역시 중구 도화골길 5, 1층 (복산동)","{'lat': 35.56729869999999, 'lng': 129.3323911}",35.56729869999999,129.3323911
1431,정대약국,약국,"울산광역시 중구 반구정4길 64, 1층 (반구동)","{'lat': 35.5584844, 'lng': 129.3443768}",35.5584844,129.3443768
1432,정문약국,약국,"울산광역시 중구 번영로 366, 1층 (학산동)","{'lat': 35.5550409, 'lng': 129.3276706}",35.5550409,129.3276706
1433,정약국,약국,"울산광역시 중구 내황13길 2, 1층 (반구동)","{'lat': 35.5549519, 'lng': 129.3453078}",35.5549519,129.3453078
1434,조은약국,약국,"울산광역시 중구 장춘로 114, 1층 (성남동)","{'lat': 35.5570126, 'lng': 129.3208923}",35.5570126,129.3208923
1435,중앙약국,약국,"울산광역시 중구 학성4길 72, 1층 (학성동)","{'lat': 35.5578891, 'lng': 129.3306801}",35.5578891,129.3306801
1436,태일약국,약국,"울산광역시 중구 태화강국가정원길 231-12, 1층 (태화동)","{'lat': 35.54777, 'lng': 129.2962236}",35.54777,129.2962236
1437,태화약국,약국,"울산광역시 중구 유곡로 26, 1층 (우정동)","{'lat': 35.5566634, 'lng': 129.3067842}",35.5566634,129.3067842
1438,토마스약국,약국,울산광역시 중구 명륜로 75 (우정동),"{'lat': 35.5582381, 'lng': 129.3119154}",35.5582381,129.3119154
1439,푸른약국,약국,"울산광역시 중구 번영로 487, 1층 (약사동)","{'lat': 35.5649877, 'lng': 129.3366371}",35.5649877,129.3366371
